image,gt_worker_id,gt_status,pred_worker_id,pred_status,iou,decision_category
-4405-_png_jpg.rf.82b5c10b2acd1cfaa24259ada8e599fe.jpg,GT_0,Violation,PRED_0,Violation,0.928,True Positive
000005_jpg.rf.96e9379ccae638140c4a90fc4b700a2b.jpg,GT_0,Violation,PRED_0,Violation,0.714,True Positive
000005_jpg.rf.96e9379ccae638140c4a90fc4b700a2b.jpg,GT_1,Violation,PRED_1,Violation,0.673,True Positive
002551_jpg.rf.ce4b9f934161faa72c80dc6898d37b2d.jpg,GT_0,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
002551_jpg.rf.ce4b9f934161faa72c80dc6898d37b2d.jpg,GT_1,Violation,PRED_0,Violation,0.758,True Positive
002551_jpg.rf.ce4b9f934161faa72c80dc6898d37b2d.jpg,GT_2,Violation,PRED_1,Violation,0.709,True Positive
002551_jpg.rf.ce4b9f934161faa72c80dc6898d37b2d.jpg,Unmatched,No Ground Truth Worker,PRED_2,Violation,0.0,False Positive (Spurious Worker Detection)
003357_jpg.rf.9867f91e88089bb68dc95947d5116d14.jpg,GT_0,Violation,PRED_0,Violation,0.825,True Positive
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,GT_0,Violation,PRED_4,Violation,0.97,True Positive
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,GT_1,Compliant,PRED_1,Violation,0.868,False Positive
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,GT_2,Violation,PRED_5,Violation,0.951,True Positive
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,GT_3,Violation,PRED_2,Violation,0.917,True Positive
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,GT_4,Violation,PRED_0,Violation,0.95,True Positive
004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,GT_5,Violation,PRED_3,Violation,0.913,True Positive
004763_jpg.rf.46484e6ca73caeaa9de45822cf1085a9.jpg,GT_0,Violation,PRED_0,Violation,0.918,True Positive
004763_jpg.rf.46484e6ca73caeaa9de45822cf1085a9.jpg,GT_1,Violation,PRED_1,Violation,0.858,True Positive
004763_jpg.rf.46484e6ca73caeaa9de45822cf1085a9.jpg,GT_2,Violation,PRED_2,Violation,0.92,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_0,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_1,Violation,PRED_2,Violation,0.82,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_2,Violation,PRED_6,Violation,0.871,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_3,Violation,PRED_3,Violation,0.844,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_4,Violation,PRED_7,Violation,0.902,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_5,Violation,PRED_0,Violation,0.861,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_6,Violation,PRED_5,Violation,0.868,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_7,Violation,PRED_4,Violation,0.859,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_8,Violation,PRED_8,Violation,0.774,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_9,Violation,PRED_1,Violation,0.923,True Positive
006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,GT_10,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,GT_0,Compliant,PRED_2,Compliant,0.866,True Negative
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,GT_1,Compliant,PRED_6,Compliant,0.829,True Negative
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,GT_2,Compliant,PRED_0,Compliant,0.855,True Negative
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,GT_3,Compliant,PRED_1,Compliant,0.716,True Negative
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,GT_4,Compliant,PRED_4,Compliant,0.833,True Negative
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,GT_5,Compliant,PRED_3,Compliant,0.877,True Negative
006672_jpg.rf.87d5978c486feb53177408cf00a0d87f.jpg,Unmatched,No Ground Truth Worker,PRED_5,Violation,0.0,False Positive (Spurious Worker Detection)
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,GT_0,Violation,PRED_0,Violation,0.886,True Positive
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,GT_1,Compliant,PRED_3,Violation,0.561,False Positive
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,GT_2,Compliant,Unmatched,Not Detected,0.0,True Negative (Missed Person Detection)
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,GT_3,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,GT_4,Compliant,PRED_1,Violation,0.839,False Positive
0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,Unmatched,No Ground Truth Worker,PRED_2,Violation,0.0,False Positive (Spurious Worker Detection)
2008_008320_jpg.rf.bd34011d46f82f9410d95f00e560b8ea.jpg,GT_0,Violation,PRED_1,Violation,0.672,True Positive
2008_008320_jpg.rf.bd34011d46f82f9410d95f00e560b8ea.jpg,GT_1,Violation,PRED_0,Violation,0.709,True Positive
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,GT_0,Compliant,PRED_1,Violation,0.655,False Positive
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,GT_1,Compliant,PRED_0,Compliant,0.879,True Negative
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,GT_2,Violation,PRED_2,Violation,0.878,True Positive
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,GT_3,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,Unmatched,No Ground Truth Worker,PRED_3,Violation,0.0,False Positive (Spurious Worker Detection)
2008_008519_jpg.rf.1798c8eed7de04399a0e7e297b4b4c9e.jpg,Unmatched,No Ground Truth Worker,PRED_4,Violation,0.0,False Positive (Spurious Worker Detection)
2009_000059_jpg.rf.50e8398a37eb33f33fd9f662feeea083.jpg,GT_0,Violation,PRED_0,Violation,0.773,True Positive
2009_000496_jpg.rf.9a2d210fe0f5ea4b572aeb07e41ecbae.jpg,GT_0,Violation,PRED_0,Violation,0.521,True Positive
2009_000496_jpg.rf.9a2d210fe0f5ea4b572aeb07e41ecbae.jpg,GT_1,Violation,PRED_1,Violation,0.934,True Positive
777_jpg.rf.92dc6945342410ced7ac93f3dfbff0c5.jpg,GT_0,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
777_jpg.rf.92dc6945342410ced7ac93f3dfbff0c5.jpg,GT_1,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
777_jpg.rf.92dc6945342410ced7ac93f3dfbff0c5.jpg,Unmatched,No Ground Truth Worker,PRED_0,Violation,0.0,False Positive (Spurious Worker Detection)
class1_150_jpg.rf.5995dce34d38deb9eb0b6e36cae78f17.jpg,GT_0,Violation,PRED_1,Violation,0.707,True Positive
class1_150_jpg.rf.5995dce34d38deb9eb0b6e36cae78f17.jpg,GT_1,Violation,PRED_0,Violation,0.862,True Positive
class2_131_jpg.rf.ad8314a9273471f1280ce8789ea75376.jpg,GT_0,Violation,PRED_0,Violation,0.898,True Positive
class2_145_jpg.rf.b8ed5a5357ee41f8fb1aa9b01a400d51.jpg,GT_0,Violation,PRED_1,Violation,0.879,True Positive
class2_145_jpg.rf.b8ed5a5357ee41f8fb1aa9b01a400d51.jpg,GT_1,Violation,PRED_0,Violation,0.961,True Positive
construction-192-_jpg.rf.56dd5c4c1396c6ad01be4fbec3bca46f.jpg,GT_0,Violation,PRED_0,Violation,0.843,True Positive
construction-675-_jpg.rf.bb4a05441be707256175e04929da3478.jpg,GT_0,Violation,PRED_0,Violation,0.806,True Positive
construction-843-_jpg.rf.c0ca85a10f6ad3c1375b37e52a51eeed.jpg,Unmatched,No Ground Truth Worker,PRED_0,Violation,0.0,False Positive (Spurious Worker Detection)
construction-843-_jpg.rf.c0ca85a10f6ad3c1375b37e52a51eeed.jpg,Unmatched,No Ground Truth Worker,PRED_1,Violation,0.0,False Positive (Spurious Worker Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_0,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_1,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_2,Violation,PRED_0,Violation,0.866,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_3,Compliant,Unmatched,Not Detected,0.0,True Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_4,Violation,PRED_1,Violation,0.778,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_5,Violation,PRED_3,Violation,0.897,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_6,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_7,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_8,Violation,PRED_7,Violation,0.55,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_9,Violation,PRED_9,Violation,0.805,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_10,Violation,PRED_15,Violation,0.635,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_11,Violation,PRED_5,Violation,0.757,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_12,Violation,PRED_8,Violation,0.567,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_13,Violation,PRED_4,Violation,0.749,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_14,Violation,PRED_2,Violation,0.723,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_15,Violation,PRED_10,Violation,0.536,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_16,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_17,Violation,Unmatched,Not Detected,0.0,False Negative (Missed Person Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,GT_18,Violation,PRED_6,Violation,0.824,True Positive
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,Unmatched,No Ground Truth Worker,PRED_11,Violation,0.0,False Positive (Spurious Worker Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,Unmatched,No Ground Truth Worker,PRED_12,Violation,0.0,False Positive (Spurious Worker Detection)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,Unmatched,No Ground Truth Worker,PRED_13,Violation,0.0,False Positive (Spurious Worker Detection)
